playerId,skaterFullName,lastName,positionCode,teamAbbrevs,gamesPlayed,shootsCatches,satPercentageClose,satPercentageTied,usatPercentageTied,usatPercentageClose,gameWinningGoals,otGoals,shGoals,headshot,logo,satPercentageClosePercentile,satPercentageTiedPercentile,usatPercentageTiedPercentile,usatPercentageClosePercentile,gameWinningGoalsPercentile,tiedPercentile,closePercentile,final,finalRank,clutch_performance
8477070,Liam O'Brien,O'Brien,C,ARI,75,L,44.2,44.3,44.1,45.6,0,0,0,https://assets.nhle.com/mugs/nhl/20232024/ARI/8477070.png,https://assets.nhle.com/logos/nhl/svg/ARI_dark.svg,16.74,17.8,17.58,22.88,13.45,17.69,19.81,16.63,429.0,0
8478046,Danton Heinen,Heinen,L,BOS,79,L,48.9,49.4,48.4,47.5,4,0,1,https://assets.nhle.com/mugs/nhl/20232024/BOS/8478046.png,https://assets.nhle.com/logos/nhl/svg/BOS_dark.svg,44.81,47.88,39.62,33.69,81.78,43.75,39.25,57.61,190.0,0
8481032,Paul Cotter,Cotter,C,VGK,76,L,46.6,47.0,47.699999999999996,48.4,0,0,0,https://assets.nhle.com/mugs/nhl/20232024/VGK/8481032.png,https://assets.nhle.com/logos/nhl/svg/VGK_dark.svg,28.6,33.69,35.17,40.15,13.45,34.43,34.38,26.02,380.0,0
8477934,Leon Draisaitl,Draisaitl,C,EDM,85,L,55.400000000000006,56.10000000000001,56.2,55.60000000000001,9,2,0,https://assets.nhle.com/mugs/nhl/20232024/EDM/8477934.png,https://assets.nhle.com/logos/nhl/svg/EDM_dark.svg,90.36,89.83,89.72,91.1,98.09,89.78,90.73,93.39,7.0,1
8476460,Mark Scheifele,Scheifele,C,WPG,79,R,48.0,50.0,48.5,46.9,4,1,0,https://assets.nhle.com/mugs/nhl/20232024/WPG/8476460.png,https://assets.nhle.com/logos/nhl/svg/WPG_dark.svg,37.61,52.65,41.21,30.51,81.78,46.93,34.06,57.01,193.0,0
8477501,Valeri Nichushkin,Nichushkin,R,COL,59,L,56.39999999999999,55.1,52.800000000000004,53.5,8,2,0,https://assets.nhle.com/mugs/nhl/20232024/COL/8477501.png,https://assets.nhle.com/logos/nhl/svg/COL_dark.svg,93.86,87.08,72.46,80.83,96.93,79.77,87.34,88.9,24.0,1
8477425,Miles Wood,Wood,L,COL,79,L,51.5,52.0,50.8,49.9,1,0,1,https://assets.nhle.com/mugs/nhl/20232024/COL/8477425.png,https://assets.nhle.com/logos/nhl/svg/COL_dark.svg,66.63,69.17,57.73,51.69,37.18,63.45,59.16,51.66,229.0,0
8481028,Martin Pospisil,Pospisil,C,CGY,63,L,56.3,60.8,59.4,54.7,1,0,0,https://assets.nhle.com/mugs/nhl/20232024/CGY/8481028.png,https://assets.nhle.com/logos/nhl/svg/CGY_dark.svg,93.22,98.62,97.88,88.45,37.18,98.25,90.84,71.6,96.0,1
8480015,Owen Tippett,Tippett,R,PHI,78,R,51.4,50.3,55.1,55.60000000000001,4,1,0,https://assets.nhle.com/mugs/nhl/20232024/PHI/8480015.png,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,65.25,55.72,85.06,91.1,81.78,70.39,78.18,77.28,65.0,1
8479318,Auston Matthews,Matthews,C,TOR,85,L,53.1,53.800000000000004,55.60000000000001,54.7,9,3,0,https://assets.nhle.com/mugs/nhl/20232024/TOR/8479318.png,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,80.19,80.51,86.97,88.45,98.09,83.74,84.32,89.65,22.0,0
